"comp_A","comp_B","r_value","n"
"A","AA",0.209908543367749,252
"A","AAPL",0.436312981741729,252
"A","ABC",0.379872420282923,252
"A","ABT",0.449543107877684,252
"A","ACE",0.399224973529331,252
"A","ACN",0.451352799195236,252
"A","ADBE",0.622025119679137,252
"A","ADI",0.52306681891759,252
"A","ADM",0.453773667600948,252
"A","ADP",0.334991132502761,252
"A","ADSK",0.625768500100457,252
"A","ADT",0.590329955222652,252
"A","AEE",0.0306255397919601,252
"A","AEP",0.0861771661818157,252
"A","AES",0.0901482200346515,252
"A","AET",0.464206320733981,252
"A","AFL",0.468708284318447,252
"A","AGN",-0.0781487682918064,252
"A","AIG",0.857879881131682,252
"A","AIV",0.245401396224555,252
"A","AIZ",0.167241062530317,252
"A","AKAM",0.676981009915827,252
"A","ALL",0.300489278693046,252
"A","ALTR",0.59263124405574,252
"A","ALXN",0.384180426591809,252
"A","AMAT",0.57348371877998,252
"A","AMD",0.0486762241484664,252
"A","AMGN",0.317668530569261,252
"A","AMP",0.570838300368726,252
"A","AMT",0.374096912773848,252
"A","AMZN",0.482981072906303,252
"A","AN",0.455592366193175,252
"A","ANF",-0.0780010857492719,252
"A","AON",0.547108084454198,252
"A","APA",0.0273693521254234,252
"A","APC",0.0797072001058858,252
"A","APD",0.432952565649918,252
"A","APH",0.481957612511174,252
"A","APOL",0.212807235478339,252
"A","ARG",0.418900539632414,252
"A","ATI",0.129171725668804,252
"A","AVB",0.211736629168873,252
"A","AVP",-0.108066624274886,252
"A","AVY",0.381908278552363,252
"A","AXP",0.251518785529868,252
"A","AZO",0.36174861036043,252
"A","BA",0.412247100673095,252
"A","BAC",0.24722847453777,252
"A","BAX",0.146201498115416,252
"A","BBBY",0.17402492601228,252
"A","BBT",0.622871589542388,252
"A","BBY",0.436340416121579,252
"A","BCR",0.214894454611555,252
"A","BDX",0.253936238038514,252
"A","BEAM",0.017789038344454,252
"A","BEN",0.653595474573305,252
"A","BF.B",0.667179713365243,252
"A","BHI",0.21268651790482,252
"A","BIG",0.484320578121855,252
"A","BIIB",0.388855175206607,252
"A","BK",0.554337154444463,252
"A","BLK",0.472891004374633,252
"A","BLL",0.464378859468683,252
"A","BMC",0.150988642843242,252
"A","BMS",0.275044527577435,252
"A","BMY",0.251226811539984,252
"A","BRCM",0.515435489445689,252
"A","BRK.B",0.239908233899958,252
"A","BSX",0.294054138490418,252
"A","BTU",-0.141701502550457,252
"A","BWA",0.360274491785643,252
"A","BXP",0.166757039306496,252
"A","C",0.509639570109217,252
"A","CA",0.359652594186501,252
"A","CAG",0.166863399674777,252
"A","CAH",0.333628749546766,252
"A","CAM",-0.0045038240203267,252
"A","CAT",0.0595726492164539,252
"A","CB",0.285474489244417,252
"A","CBG",0.527508136997281,252
"A","CBS",0.352612761947638,252
"A","CCE",0.34453051960259,252
"A","CCI",0.175139373740598,252
"A","CCL",0.343583932872735,252
"A","CELG",0.316557373238167,252
"A","CERN",0.321627505744784,252
"A","CF",0.203335303409172,252
"A","CFN",0.157227739528519,252
"A","CHK",-0.0711829371227001,252
"A","CHRW",0.366248251050926,252
"A","CI",0.444806673740288,252
"A","CINF",0.363542563044594,252
"A","CL",0.418364114730088,252
"A","CLF",-0.212347624481073,252
"A","CLX",0.188968048001039,252
"A","CMA",0.407376492065186,252
"A","CMCSA",0.544851981028998,252
"A","CME",0.307125681750858,252
"A","CMG",0.271455342941098,252
"A","CMI",0.355988248922189,252
"A","CMS",0.131497113296799,252
"A","CNP",-0.0294373527134921,252
"A","CNX",0.041539859250353,252
"A","COF",0.688310581092406,252
"A","COG",-0.0335427348798624,252
"A","COH",-0.117511066237814,252
"A","COL",0.395064435623667,252
"A","COP",0.170290132777403,252
"A","COST",0.308839334016266,252
"A","COV",0.309642552462362,252
"A","CPB",0.239375198905293,252
"A","CRM",0.514229090614821,252
"A","CSC",0.566321924363923,252
"A","CSCO",0.463709521595341,252
"A","CSX",0.32540844805039,252
"A","CTAS",0.301669572094771,252
"A","CTL",0.188116805399322,252
"A","CTSH",0.369415172489582,252
"A","CTXS",0.428134566822334,252
"A","CVC",0.328004459060779,252
"A","CVH",0.441816382524688,252
"A","CVS",0.275820271999874,252
"A","CVX",0.107011108099266,252
"A","D",0.0196929611526301,252
"A","DD",0.33057552839014,252
"A","DE",0.114242067677365,252
"A","DF",0.235863451087838,252
"A","DFS",0.460472857727986,252
"A","DG",0.429102739629811,252
"A","DGX",0.318467617802921,252
"A","DHI",0.470965526768442,252
"A","DHR",0.500988429533769,252
"A","DIS",0.436145979475154,252
"A","DISCA",0.0275708718560188,252
"A","DLTR",0.3349605115853,252
"A","DNB",0.466934570147233,252
"A","DNR",-0.0897105494106717,252
"A","DO",-0.221884171435224,252
"A","DOV",0.132828252744754,252
"A","DOW",0.514019439590323,252
"A","DPS",0.275558409804927,252
"A","DRI",0.256270610650263,252
"A","DTE",-0.00619333646855715,252
"A","DTV",0.477245524195371,252
"A","DUK",-0.0392180299112417,252
"A","DVA",0.386857455042009,252
"A","DVN",0.161783629256705,252
"A","EA",0.380047711917086,252
"A","EBAY",0.291518363115493,252
"A","ECL",0.589999296028956,252
"A","ED",-0.011616528854704,252
"A","EFX",0.421549958624057,252
"A","EIX",0.111978176198237,252
"A","EL",0.550941951905148,252
"A","EMC",0.321326425014327,252
"A","EMN",0.158614772744372,252
"A","EMR",0.0449588650352061,252
"A","EOG",0.166362281881747,252
"A","EQR",0.21245644840689,252
"A","EQT",0.0211623849139414,252
"A","ESRX",0.290593788416782,252
"A","ESV",-0.114940751717097,252
"A","ETFC",0.464085734522096,252
"A","ETN",0.337924535441057,252
